"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2019","36,462.59","36,375.22","36,585.48","36,332.28","28.20K","0.16%"
"Apr 23, 2019","36,404.03","36,901.24","36,911.61","36,136.11","95.42K","-1.35%"
"Apr 22, 2019","36,901.69","37,474.80","37,479.27","36,839.29","104.28K","-1.05%"
"Apr 19, 2019","37,292.47","36,827.08","37,729.12","36,818.16","139.07K","1.31%"
"Apr 18, 2019","36,811.86","36,737.51","36,919.95","36,419.36","151.84K","0.16%"
"Apr 17, 2019","36,752.57","37,385.04","37,418.67","36,692.21","123.09K","-1.68%"
"Apr 16, 2019","37,381.95","37,519.57","37,635.56","37,339.21","95.32K","-0.33%"
"Apr 15, 2019","37,504.08","37,431.00","37,698.79","37,281.15","134.91K","0.45%"
"Apr 12, 2019","37,337.87","36,788.89","37,420.92","36,741.70","125.96K","1.50%"
"Apr 11, 2019","36,787.64","36,555.20","36,910.03","36,499.34","101.70K","0.57%"
"Apr 10, 2019","36,579.32","37,138.79","37,170.36","36,464.85","73.30K","-1.48%"
"Apr 09, 2019","37,129.97","36,906.30","37,270.58","36,593.20","108.85K","0.56%"
"Apr 08, 2019","36,921.91","37,552.90","37,552.90","36,738.96","73.33K","-1.60%"
"Apr 05, 2019","37,521.81","37,517.13","37,592.27","37,307.14","48.07K","0.02%"
"Apr 04, 2019","37,516.11","38,037.79","38,042.60","37,413.09","63.15K","-1.33%"
"Apr 03, 2019","38,022.80","38,050.80","38,119.14","37,855.09","63.00K","-0.03%"
"Apr 02, 2019","38,036.03","38,423.14","38,557.74","37,932.29","65.30K","-0.83%"
"Apr 01, 2019","38,354.85","38,633.56","38,633.56","38,211.08","39.70K","-0.76%"
"Mar 29, 2019","38,649.34","38,555.65","38,733.37","38,483.46","82.77K","0.25%"
"Mar 28, 2019","38,552.95","38,960.67","38,960.67","38,418.90","54.35K","-1.06%"
"Mar 27, 2019","38,965.01","38,382.06","38,981.12","38,369.12","91.76K","1.66%"
"Mar 26, 2019","38,329.13","38,161.08","38,372.89","38,039.69","-","0.53%"
"Mar 25, 2019","38,128.66","38,520.35","38,520.35","38,053.15","36.49K","-1.05%"
"Mar 22, 2019","38,531.87","38,437.17","38,721.05","38,389.86","54.20K","0.38%"
"Mar 21, 2019","38,384.71","38,548.18","38,593.48","38,202.28","55.29K","-0.42%"
"Mar 20, 2019","38,547.76","38,600.56","38,666.55","38,427.64","56.16K","-0.17%"
"Mar 19, 2019","38,612.37","38,913.36","39,011.54","38,528.11","54.80K","-0.62%"
"Mar 18, 2019","38,851.95","38,355.84","38,882.82","38,161.72","74.81K","1.42%"
"Mar 15, 2019","38,306.95","38,799.91","38,839.01","38,187.48","100.36K","-1.29%"
"Mar 14, 2019","38,808.61","38,936.09","38,999.39","38,751.60","58.90K","-0.31%"
"Mar 13, 2019","38,928.93","38,874.25","39,060.58","38,828.52","67.53K","0.08%"
"Mar 12, 2019","38,896.49","38,937.01","39,030.25","38,648.12","54.16K","-0.07%"
"Mar 11, 2019","38,924.11","39,012.48","39,146.44","38,875.82","50.34K","-0.07%"
"Mar 08, 2019","38,950.23","39,313.75","39,323.43","38,866.69","46.12K","-0.88%"
"Mar 07, 2019","39,294.10","39,662.44","39,747.18","39,257.99","46.36K","-0.69%"
"Mar 06, 2019","39,568.10","39,718.18","39,845.59","39,494.88","61.61K","-0.30%"
"Mar 05, 2019","39,688.51","39,775.16","39,955.28","39,598.97","126.66K","-0.15%"
"Mar 04, 2019","39,749.74","39,550.18","39,841.74","39,499.36","141.77K","0.53%"
"Mar 01, 2019","39,539.01","39,083.98","39,713.42","39,083.98","94.70K","1.24%"
"Feb 28, 2019","39,054.60","38,815.24","39,149.33","38,558.45","102.34K","0.94%"
"Feb 27, 2019","38,692.69","38,630.12","38,857.90","37,330.38","178.89K","-0.33%"
"Feb 26, 2019","38,821.67","39,421.88","39,421.88","38,726.73","104.83K","-1.98%"
"Feb 25, 2019","39,606.79","39,990.34","40,046.25","39,550.65","44.19K","-1.02%"
"Feb 22, 2019","40,016.13","39,982.37","40,082.21","39,799.93","66.27K","-0.14%"
"Feb 21, 2019","40,070.71","40,317.66","40,416.53","39,882.23","76.30K","-0.52%"
"Feb 20, 2019","40,279.38","39,943.99","40,330.04","39,688.75","89.40K","0.81%"
"Feb 19, 2019","39,957.07","40,242.45","40,320.58","39,941.97","56.02K","-0.65%"
"Feb 18, 2019","40,219.47","40,605.13","40,654.65","40,000.11","57.94K","-0.66%"
"Feb 15, 2019","40,486.67","40,515.20","40,646.39","40,361.03","46.64K","-0.05%"
"Feb 14, 2019","40,506.98","40,544.99","40,589.15","40,318.01","58.30K","-0.09%"
"Feb 13, 2019","40,544.11","40,692.74","40,839.09","40,484.58","102.39K","-0.13%"
"Feb 12, 2019","40,596.28","40,326.19","40,637.26","40,269.00","91.16K","0.67%"
"Feb 11, 2019","40,326.53","41,038.02","41,076.26","40,218.37","87.57K","-1.37%"
"Feb 08, 2019","40,887.35","41,358.68","41,453.10","40,790.60","124.64K","-1.08%"
"Feb 07, 2019","41,332.75","41,529.25","41,606.27","41,289.12","64.17K","-0.42%"
"Feb 06, 2019","41,505.68","41,693.37","41,766.93","41,417.82","118.36K","-0.26%"
